name,currency,IBAN,BIC,opening balance,opening date
ubille0,Euro (€),GI06 YNGA EV3N A0ZR HMKD AD4,SMCSABOYOFI,29,13/11/2023
tmessham1,Dollar ($),BH47 ZTMT OUTF LSDW FDGB 9I,LBTUBR0DN8Q,92,25/05/2023
atampion2,Euro (€),MK82 781T CUJ0 OR6O 303,KKDOBLWZQ78,43,10/09/2023
mcoal3,Euro (€),CZ51 5222 4443 6317 7077 0928,QJSKUW2R1E2,4,01/11/2023
agulleford4,Dollar ($),MK68 875B ZBVS 4JLB G40,MTHORG3BE17,86,03/07/2023
sselwood5,Dollar ($),LV84 LGKE YFLH QCGK XHYS 4,ESREFX9SY19,11,31/05/2023
brooksby6,Dollar ($),GI67 CHHE R5FJ XVD3 ZBGW MKT,MQJQYJ6C707,98,25/07/2023
itrosdall7,Dollar ($),SI28 7597 9213 6602 128,TFZPWPTTU2N,33,16/05/2023
drounce8,Dollar ($),FR43 0759 4508 71EM QSXF UIN4 572,CRVFURB9Q4K,70,14/09/2023
lmeier9,Euro (€),MT94 ILIB 0355 9QWJ 2LAR 5JJO GAMP 0OS,SHHHPX99IDX,31,16/12/2022
