Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Report,Chrome 120.0.0.0,,,02-01-2024 21:09:40,02-01-2024 21:13:51,4m - 11.611s,PASSED
,,,,,,,
Test Cases/Report,Chrome 120.0.0.0,,,02-01-2024 21:09:40,02-01-2024 21:10:06,25.399s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 21:09:41,02-01-2024 21:09:43,2.327s,PASSED
"navigateToUrl(""https://firefly.buudadawg.online/login"")",Chrome 120.0.0.0,,,02-01-2024 21:09:43,02-01-2024 21:09:47,3.287s,PASSED
"click(findTestObject(""Object Repository/Report/Page_Login to Firefly III/p_Sign in to start your session""))",Chrome 120.0.0.0,,,02-01-2024 21:09:47,02-01-2024 21:09:47,0.576s,PASSED
"setText(findTestObject(""Object Repository/Report/Page_Login to Firefly III/input_email""), ""klot12022002@gmail.com"")",Chrome 120.0.0.0,,,02-01-2024 21:09:47,02-01-2024 21:09:49,1.208s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Report/Page_Login to Firefly III/input_password""), ""A0OWLKT5igxVrUm1hOyDrVf3RsK4FPOM"")",Chrome 120.0.0.0,,,02-01-2024 21:09:49,02-01-2024 21:09:49,0.792s,PASSED
"click(findTestObject(""Object Repository/Report/Page_Login to Firefly III/button_Sign in""))",Chrome 120.0.0.0,,,02-01-2024 21:09:49,02-01-2024 21:09:50,1.013s,PASSED
"click(findTestObject(""Object Repository/Report/Page_Whats playing  Firefly III/span_Reports""))",Chrome 120.0.0.0,,,02-01-2024 21:09:50,02-01-2024 21:09:52,1.924s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Report/Page_Reports  Firefly III/select_Default financial report            _3699a2""), report_type, true)",Chrome 120.0.0.0,,,02-01-2024 21:09:52,02-01-2024 21:09:54,1.553s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Report/Page_Reports  Firefly III/input_checkbox""), included_amount, false)",Chrome 120.0.0.0,,,02-01-2024 21:09:54,02-01-2024 21:09:55,1.131s,PASSED
"setText(findTestObject(""Object Repository/Report/Page_Reports  Firefly III/input_daterange""), date_from + "" - "" + date_to)",Chrome 120.0.0.0,,,02-01-2024 21:09:55,02-01-2024 21:09:56,1.343s,PASSED
"if (extra_budget && waitForElementPresent(findTestObject(""Object Repository/Report/Page_Reports  Firefly III/input_extra_budget""), 1))",Chrome 120.0.0.0,,,02-01-2024 21:09:56,02-01-2024 21:09:56,0.002s,PASSED
else,Chrome 120.0.0.0,,,02-01-2024 21:09:56,02-01-2024 21:09:56,0.042s,PASSED
"if (extra_category && waitForElementPresent(findTestObject(""Object Repository/Report/Page_Reports  Firefly III/input_extra_category""), 1))",Chrome 120.0.0.0,,,02-01-2024 21:09:56,02-01-2024 21:10:01,4.236s,PASSED
else,Chrome 120.0.0.0,,,02-01-2024 21:10:01,02-01-2024 21:10:01,0.007s,PASSED
